Name,Size,Price,Link,MRP
Dr Willmar Schwabe India Zincum Arsenicosum Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-zincum-arsenicosum-dilution-200-ch-otc406803,
SBL Gunpowder Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,,https://www.1mg.com/otc/sbl-gunpowder-trituration-tablet-3x-otc338996,
Pioneer Pharma Copaiva Officinalis Pellets 1000 CH,bottle of 150 pellets,128,https://www.1mg.com/otc/pioneer-pharma-copaiva-officinalis-pellets-1000-ch-otc908820,MRP₹15015% OFF
Radient 68 Slim Fit Drops,bottle of 30 ml Oral Drops,114,https://www.1mg.com/otc/radient-68-slim-fit-drops-otc801907,MRP₹13012% OFF
Bjain Collinsonia Canadensis Globules 0/3 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-collinsonia-canadensis-globules-0-3-lm-otc833068,MRP₹8510% OFF
LDD Bioscience Urea Dilution 1000 CH,bottle of 30 ml Dilution,117,https://www.1mg.com/otc/ldd-bioscience-urea-dilution-1000-ch-otc840521,MRP₹13010% OFF
ADEL Baryta Mur Dilution 10M,bottle of 10 ml Dilution,221,https://www.1mg.com/otc/adel-baryta-mur-dilution-10m-otc780923,MRP₹2304% OFF
SBL Pertussinum Dilution 1000 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-pertussinum-dilution-1000-ch-otc348493,
SBL Acidum Tartaricum Dilution 200 CH,bottle of 30 ml Dilution,107,https://www.1mg.com/otc/sbl-acidum-tartaricum-dilution-200-ch-otc350638,MRP₹1157% OFF
Lord's Jaborandi Hair Oil,bottle of 200 ml Oil,,https://www.1mg.com/otc/lord-s-jaborandi-hair-oil-otc392818,
Wheezal Guarana Globules 0/13 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-guarana-globules-0-13-lm-otc894347,MRP₹1807% OFF
Wheezal Oenanthe Crocata Dilution 6,box of 30 ml Dilution,89,https://www.1mg.com/otc/wheezal-oenanthe-crocata-dilution-6-otc925263,MRP₹10011% OFF
Bjain Guaiacum Dilution 6 CH,bottle of 12 ml Dilution,51,https://www.1mg.com/otc/bjain-guaiacum-dilution-6-ch-otc710512,MRP₹6015% OFF
