Name,Size,Price,Link,MRP
Bjain Ignatia Amara Dilution 50M CH,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-ignatia-amara-dilution-50m-ch-otc440570,
ADEL Helleborus Mother Tincture Q,bottle of 20 ml Mother Tincture,294,https://www.1mg.com/otc/adel-helleborus-mother-tincture-q-otc327635,MRP₹3002% OFF
Rxhomeo Equisetum Hye 200C,bottle of 250 pellets,85.5,https://www.1mg.com/otc/rxhomeo-equisetum-hye-200c-otc858527,MRP₹15043% OFF
Dr. Majumder Homeo World Argentum Iodatum Dilution (30 ml Each) 30 CH,combo pack of 6 bottles,1170,https://www.1mg.com/otc/dr.-majumder-homeo-world-argentum-iodatum-dilution-30-ml-each-30-ch-otc869873,MRP₹156025% OFF
Bakson's Homeopathy Placenta Dilution 10M,bottle of 30 ml Dilution,290,https://www.1mg.com/otc/bakson-s-homeopathy-placenta-dilution-10m-otc807141,MRP₹3158% OFF
Bjain Acidum Nitricum Globules 0/28 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-acidum-nitricum-globules-0-28-lm-otc824477,MRP₹8510% OFF
Bjain Kali Muriaticum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,102,https://www.1mg.com/otc/bjain-kali-muriaticum-biochemic-tablet-6x-otc484144,MRP₹1053% OFF
Dr Willmar Schwabe India Pulsatilla Nigricans Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-pulsatilla-nigricans-dilution-12-ch-otc405910,
SBL Agnus Castus 0/2 LM,bottle of 20 gm Globules,172,https://www.1mg.com/otc/sbl-agnus-castus-0-2-lm-otc359949,MRP₹1857% OFF
Dr. Reckeweg Abies Nigra Dilution 30 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-abies-nigra-dilution-30-ch-otc326829,
Bakson's Homeopathy Phenolphthalein Dilution 30,bottle of 30 ml Dilution,92,https://www.1mg.com/otc/bakson-s-homeopathy-phenolphthalein-dilution-30-otc782654,MRP₹1008% OFF
SBL Balsum Peruvianum Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-balsum-peruvianum-dilution-30-ch-otc351282,
Dr Willmar Schwabe India Ferrum Metallicum Dilution 1000 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-ferrum-metallicum-dilution-1000-ch-otc402866,
Lord's Sarsamed Blood Purifier,bottle of 180 ml Syrup,144,https://www.1mg.com/otc/lord-s-sarsamed-blood-purifier-otc711422,MRP₹16010% OFF
Pioneer Pharma Rauvolfia Serpentina Pills 30 CH,bottle of 150 tablets,,https://www.1mg.com/otc/pioneer-pharma-rauvolfia-serpentina-pills-30-ch-otc961918,
SBL Hyoscyamus Niger Dilution 3 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-hyoscyamus-niger-dilution-3-ch-otc353564,
Dr Willmar Schwabe India Olibanum Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-olibanum-dilution-12-ch-otc394603,
Dr Willmar Schwabe India Melissa Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-melissa-dilution-12-ch-otc405371,
Wheezal Kali Phosphoricum Globules 0/28 LM,bottle of 20 gm Globules,178,https://www.1mg.com/otc/wheezal-kali-phosphoricum-globules-0-28-lm-otc895861,MRP₹1801% OFF
Dr Willmar Schwabe India Barium Acetica Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,,https://www.1mg.com/otc/dr-willmar-schwabe-india-barium-acetica-trituration-tablet-3x-otc401044,
Bakson's Homeopathy Kof Aid Tablet,bottle of 200 tablets,,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc386761,
Dr Willmar Schwabe India Thymolum Dilution 6 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-thymolum-dilution-6-ch-otc406392,
Dr Willmar Schwabe India Adrenalinum Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-adrenalinum-dilution-12-ch-otc394908,
Dr Willmar Schwabe India Cornus Circinata Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-cornus-circinata-dilution-200-ch-otc400614,
Bjain Belladonna Dilution 3X,bottle of 12 ml Dilution,,https://www.1mg.com/otc/bjain-belladonna-dilution-3x-otc716398,
Bjain Acidum Boracicum Globules 0/5 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-acidum-boracicum-globules-0-5-lm-otc824416,MRP₹8510% OFF
Bakson's Homeopathy Aegle Folia Dilution 30,bottle of 30 ml Dilution,97.5,https://www.1mg.com/otc/bakson-s-homeopathy-aegle-folia-dilution-30-otc749306,MRP₹1003% OFF
Pioneer Pharma Syzygium Jambolanum Globules Pellet Multidose Pills 30 CH,bottle of 150 tablets,,https://www.1mg.com/otc/pioneer-pharma-syzygium-jambolanum-globules-pellet-multidose-pills-30-ch-otc962813,
Lord's Uranium Nit Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,,https://www.1mg.com/otc/lord-s-uranium-nit-trituration-tablet-3x-otc561394,
ADEL Aurum Met. Dilution 200,bottle of 10 ml Dilution,,https://www.1mg.com/otc/adel-aurum-met.-dilution-200-otc328845,
Bjain Drosera Rotundifolia Dilution 10M CH,bottle of 12 ml Dilution,136,https://www.1mg.com/otc/bjain-drosera-rotundifolia-dilution-10m-ch-otc712665,MRP₹16015% OFF
Wheezal Urtica Urens Dilution 10M,bottle of 30 ml Dilution,245,https://www.1mg.com/otc/wheezal-urtica-urens-dilution-10m-otc896300,MRP₹27511% OFF
Dr Willmar Schwabe Germany Asarum Europaeum Dilution 200,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-germany-asarum-europaeum-dilution-200-otc694750,
Wheezal Dioscorea Villosa Globules 0/5 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-dioscorea-villosa-globules-0-5-lm-otc892194,MRP₹1807% OFF
SBL Mica Dilution 6 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-mica-dilution-6-ch-otc354740,MRP₹1007% OFF
Wheezal Solanum Nigrum Dilution CM,bottle of 30 ml Dilution,298,https://www.1mg.com/otc/wheezal-solanum-nigrum-dilution-cm-otc923222,MRP₹33511% OFF
Radient #129 Paralysis Drops,bottle of 30 ml Oral Drops,135,https://www.1mg.com/otc/radient-129-paralysis-drops-otc941637,MRP₹15010% OFF
Medisynth Bio-chemic Combination No.20 Skin Diseases,bottle of 450 gm Biocombination Tablet,739,https://www.1mg.com/otc/medisynth-bio-chemic-combination-no.20-skin-diseases-otc886799,MRP₹7501% OFF
Pioneer Pharma P47 Blood Purifier Drop,bottle of 30 ml Drop,,https://www.1mg.com/otc/pioneer-pharma-p47-blood-purifier-drop-otc644120,
Dr. Reckeweg Kalmegh Mother Tincture Q,bottle of 20 ml Mother Tincture,,https://www.1mg.com/otc/dr.-reckeweg-kalmegh-mother-tincture-q-otc327588,
SBL Boldo Dilution 12 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-boldo-dilution-12-ch-otc351387,MRP₹1007% OFF
Dr Willmar Schwabe Germany Terebinthinae Oleum Dilution 200,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-germany-terebinthinae-oleum-dilution-200-otc697504,
Radient Sleemex Drops,bottle of 60 ml Oral Drops,104,https://www.1mg.com/otc/radient-sleemex-drops-otc799982,MRP₹11510% OFF
Bakson's Homeopathy Dolichos Pruriens Dilution 6 CH,bottle of 30 ml Dilution,91.5,https://www.1mg.com/otc/bakson-s-homeopathy-dolichos-pruriens-dilution-6-ch-otc760889,MRP₹1009% OFF
SBL Spongia Tosta 0/8 LM,bottle of 20 gm Globules,172,https://www.1mg.com/otc/sbl-spongia-tosta-0-8-lm-otc363446,MRP₹1857% OFF
Bjain Pulsatilla Nigricans Dilution 10M CH,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-pulsatilla-nigricans-dilution-10m-ch-otc434837,
Bjain Omeo Sulphur Ointment,tube of 30 gm Ointment,,https://www.1mg.com/otc/bjain-omeo-sulphur-ointment-otc499463,
LDD Bioscience Echinacea Angustifolia Mother Tincture Q,bottle of 100 ml Mother Tincture,312,https://www.1mg.com/otc/ldd-bioscience-echinacea-angustifolia-mother-tincture-q-otc691764,MRP₹3203% OFF
Bakson's Homeopathy Anantherum Muricatum Dilution 200,bottle of 30 ml Dilution,105,https://www.1mg.com/otc/bakson-s-homeopathy-anantherum-muricatum-dilution-200-otc751760,MRP₹1159% OFF
Bakson's Homeopathy Areca Catechu Dilution 200,bottle of 30 ml Dilution,105,https://www.1mg.com/otc/bakson-s-homeopathy-areca-catechu-dilution-200-otc752687,MRP₹1159% OFF
BRL Kough-Vit Cough Expectorant,bottle of 100 ml Expectorant,96,https://www.1mg.com/otc/brl-kough-vit-cough-expectorant-otc787577,MRP₹1004% OFF
Dr Willmar Schwabe India Cantharis Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-cantharis-dilution-12-ch-otc398605,
Pioneer Pharma Salix Nigra Mother Tincture Q,bottle of 30 ml Mother Tincture,239,https://www.1mg.com/otc/pioneer-pharma-salix-nigra-mother-tincture-q-otc875810,MRP₹26510% OFF
Bjain Hyoscyamus Niger Dilution 10M CH,bottle of 12 ml Dilution,,https://www.1mg.com/otc/bjain-hyoscyamus-niger-dilution-10m-ch-otc710196,
Radient #47 Anti-Dandruff Drops,bottle of 30 ml Oral Drops,144,https://www.1mg.com/otc/radient-47-anti-dandruff-drops-otc801817,MRP₹1504% OFF
Wheezal Ferrum Metallicum Globules 0/25 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-ferrum-metallicum-globules-0-25-lm-otc892914,MRP₹1807% OFF
Wheezal Sepia Globules 0/12 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-sepia-globules-0-12-lm-otc886250,MRP₹1807% OFF
SBL Eriodictyon Glutinosum Dilution 12 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-eriodictyon-glutinosum-dilution-12-ch-otc352552,MRP₹1007% OFF
Bjain Rauvolfia Serpentina Dilution 1000 CH,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-rauvolfia-serpentina-dilution-1000-ch-otc434465,
Wheezal Stigmata Maydis Dilution 30,box of 30 ml Dilution,89,https://www.1mg.com/otc/wheezal-stigmata-maydis-dilution-30-otc925216,MRP₹10011% OFF
ADEL Actaea Spicata. Dilution 1M,bottle of 10 ml Dilution,206,https://www.1mg.com/otc/adel-actaea-spicata.-dilution-1m-otc332631,MRP₹2102% OFF
ADEL Quercus Gland Spi Mother Tincture Q,bottle of 20 ml Mother Tincture,273,https://www.1mg.com/otc/adel-quercus-gland-spi-mother-tincture-q-otc327718,MRP₹3009% OFF
SBL Elaps Corallinus Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-elaps-corallinus-dilution-200-ch-otc346541,
LDD Bioscience Damiana Dilution 30 CH,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/ldd-bioscience-damiana-dilution-30-ch-otc842002,MRP₹9510% OFF
Dr Kushwah's H 8D Kidney Tonic Sugar Free,bottle of 225 ml Tonic,,https://www.1mg.com/otc/dr-kushwah-s-h-8d-kidney-tonic-sugar-free-otc879165,
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 50M,combo pack of 2 bottles,589,https://www.1mg.com/otc/dr.-majumder-homeo-world-acidum-tannicum-dilution-30ml-each-50m-otc854079,MRP₹71017% OFF
Sett Dey Gambogia Dilution 30,bottle of 30 ml Dilution,76.5,https://www.1mg.com/otc/sett-dey-gambogia-dilution-30-otc905849,MRP₹9015% OFF
Lord's Xanthoxyllum Mother Tincture Q,bottle of 30 ml Mother Tincture,183,https://www.1mg.com/otc/lord-s-xanthoxyllum-mother-tincture-q-otc738168,MRP₹21515% OFF
Healwell Noache Pills,bottle of 15 gm Tablet,95,https://www.1mg.com/otc/healwell-noache-pills-otc499046,MRP₹1005% OFF
Haslab HC 10 Lecithin Complex Tablet,bottle of 550 gm Tablet,768,https://www.1mg.com/otc/haslab-hc-10-lecithin-complex-tablet-otc536593,MRP₹8307% OFF
ADEL Merc Iod Flav Dilution 10M,bottle of 10 ml Dilution,221,https://www.1mg.com/otc/adel-merc-iod-flav-dilution-10m-otc764221,MRP₹2304% OFF
LDD Bioscience Mercurius Iod Flaves 3X,bottle of 25 gm Tablet,147,https://www.1mg.com/otc/ldd-bioscience-mercurius-iod-flaves-3x-otc743418,MRP₹1502% OFF
Pioneer Pharma Glonoinum Globules Pellet Multidose Pills 30 CH,bottle of 150 tablets,102,https://www.1mg.com/otc/pioneer-pharma-glonoinum-globules-pellet-multidose-pills-30-ch-otc961958,MRP₹12015% OFF
Bakson's Homeopathy Abelmoschus Dilution 6X,bottle of 30 ml Dilution,92,https://www.1mg.com/otc/bakson-s-homeopathy-abelmoschus-dilution-6x-otc747280,MRP₹1008% OFF
SBL Influenzinum Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-influenzinum-dilution-12-ch-otc353622,
SBL Streptococcinum Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-streptococcinum-dilution-12-ch-otc358615,
Wheezal Conium Maculatum Globules 0/24 LM,bottle of 20 gm Globules,178,https://www.1mg.com/otc/wheezal-conium-maculatum-globules-0-24-lm-otc892092,MRP₹1801% OFF
LDD Bioscience Podophylum Pel Dilution 30,bottle of 100 ml Dilution,171,https://www.1mg.com/otc/ldd-bioscience-podophylum-pel-dilution-30-otc724854,MRP₹1805% OFF
SBL Allium Sativum Dilution 1000 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-allium-sativum-dilution-1000-ch-otc345740,
Dr Willmar Schwabe India Blatta Orientalis Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-blatta-orientalis-dilution-30-ch-otc397872,
Bjain Plumbum Metallicum Dilution 1000 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/bjain-plumbum-metallicum-dilution-1000-ch-otc435217,
SBL Plumbum Chromicum Dilution 200 CH,bottle of 30 ml Dilution,107,https://www.1mg.com/otc/sbl-plumbum-chromicum-dilution-200-ch-otc356302,MRP₹1157% OFF
Haslab HC 54 Alfalfa Complex Tablet,bottle of 550 gm Tablet,768,https://www.1mg.com/otc/haslab-hc-54-alfalfa-complex-tablet-otc536716,MRP₹8307% OFF
SBL Bio-Combination 8 Tablet,bottle of 25 gm Biocombination Tablet,,https://www.1mg.com/otc/sbl-bio-combination-8-tablet-otc331039,
LDD Bioscience Vertarum Viride Dilution 30 CH,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/ldd-bioscience-vertarum-viride-dilution-30-ch-otc844308,MRP₹9510% OFF
Bakson's Homeopathy Syphilinum Dilution 200,bottle of 30 ml Dilution,112,https://www.1mg.com/otc/bakson-s-homeopathy-syphilinum-dilution-200-otc785202,MRP₹1153% OFF
Dr Willmar Schwabe Germany Chininum Sulphuricum Dilution 30,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-germany-chininum-sulphuricum-dilution-30-otc695185,
Wheezal Chionanthus Virginica Dilution 50M,bottle of 30 ml Dilution,289,https://www.1mg.com/otc/wheezal-chionanthus-virginica-dilution-50m-otc905887,MRP₹32511% OFF
Sett Dey Graphites Dilution 30,bottle of 30 ml Dilution,73.1,https://www.1mg.com/otc/sett-dey-graphites-dilution-30-otc839306,MRP₹8615% OFF
Boiron Hypericum Perforatum Pellets 10M,bottle of 80 pellets,,https://www.1mg.com/otc/boiron-hypericum-perforatum-pellets-10m-otc645691,
Organon Arnica Mont Mother Tincture Q,bottle of 30 ml Mother Tincture,,https://www.1mg.com/otc/organon-arnica-mont-mother-tincture-q-otc919984,
Bakson's Homeopathy Zingiber Officinale Dilution 1000 C,bottle of 30 ml Dilution,128,https://www.1mg.com/otc/bakson-s-homeopathy-zingiber-officinale-dilution-1000-c-otc781675,MRP₹1409% OFF
SBL Thyroxinum Dilution 12 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-thyroxinum-dilution-12-ch-otc359295,MRP₹1007% OFF
ADEL Lemna Minor Mother Tincture Q,bottle of 20 ml Mother Tincture,268,https://www.1mg.com/otc/adel-lemna-minor-mother-tincture-q-otc328788,MRP₹2701% OFF
Wheezal Curcuma Longa Dilution 6,bottle of 30 ml Dilution,89,https://www.1mg.com/otc/wheezal-curcuma-longa-dilution-6-otc914957,MRP₹10011% OFF
SBL Chrysarobinum Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-chrysarobinum-dilution-200-ch-otc348989,
SBL Calcarea Ova Tosta Dilution 1000 CH,bottle of 30 ml Dilution,130,https://www.1mg.com/otc/sbl-calcarea-ova-tosta-dilution-1000-ch-otc351530,MRP₹1407% OFF
ADEL Sanguinaria Nit. Dilution 200,bottle of 10 ml Dilution,,https://www.1mg.com/otc/adel-sanguinaria-nit.-dilution-200-otc332911,
LDD Bioscience Arsenicum Bromatum Dilution 1000 CH,bottle of 30 ml Dilution,117,https://www.1mg.com/otc/ldd-bioscience-arsenicum-bromatum-dilution-1000-ch-otc838049,MRP₹13010% OFF
Bakson's Homeopathy Apocynum Androsaemifolium Dilution 30,bottle of 30 ml Dilution,92,https://www.1mg.com/otc/bakson-s-homeopathy-apocynum-androsaemifolium-dilution-30-otc752377,MRP₹1008% OFF
Dr. Majumder Homeo World Acidum Lacticum Dilution (30ml Each) 200,combo pack of 3 bottles,648,https://www.1mg.com/otc/dr.-majumder-homeo-world-acidum-lacticum-dilution-30ml-each-200-otc851744,MRP₹81020% OFF
Dr. Raj Tonsicare Drop,bottle of 30 ml Drop,138,https://www.1mg.com/otc/dr.-raj-tonsicare-drop-otc549381,MRP₹1455% OFF
Dr Willmar Schwabe India Iodium Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-iodium-dilution-30-ch-otc404186,
Rxhomeo Cimicifuga R 30C,bottle of 250 pellets,85.5,https://www.1mg.com/otc/rxhomeo-cimicifuga-r-30c-otc858591,MRP₹15043% OFF
Wheezal Iodoformum Dilution CM,bottle of 30 ml Dilution,298,https://www.1mg.com/otc/wheezal-iodoformum-dilution-cm-otc927155,MRP₹33511% OFF
Dr. Reckeweg Gossypium Mother Tincture Q,bottle of 20 ml Mother Tincture,,https://www.1mg.com/otc/dr.-reckeweg-gossypium-mother-tincture-q-otc327648,
Bjain Curcuma Longa Mother Tincture Q,bottle of 100 ml Mother Tincture,,https://www.1mg.com/otc/bjain-curcuma-longa-mother-tincture-q-otc445563,
Pioneer Pharma Cicuta Virosa Pellets 1000 CH,bottle of 150 pellets,128,https://www.1mg.com/otc/pioneer-pharma-cicuta-virosa-pellets-1000-ch-otc908805,MRP₹15015% OFF
SBL Ammonium Iodatum Dilution 12 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-ammonium-iodatum-dilution-12-ch-otc350940,MRP₹1007% OFF
Dr Willmar Schwabe India Calcarea Silicata Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-calcarea-silicata-dilution-12-ch-otc398420,
Dr Willmar Schwabe India Anacardium Occidentale Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-anacardium-occidentale-dilution-12-ch-otc396156,
Dr. Majumder Homeo World Acidum Citricum Dilution (30ml Each) CM,combo pack of 2 bottles,656,https://www.1mg.com/otc/dr.-majumder-homeo-world-acidum-citricum-dilution-30ml-each-cm-otc861677,MRP₹79017% OFF
SBL Pulsatilla Nigricans 0/10 LM,bottle of 20 gm Globules,,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-0-10-lm-otc365278,
Bjain Dilution Cholesterinum 200 CH,bottle of 12 ml Dilution,55.3,https://www.1mg.com/otc/bjain-dilution-cholesterinum-200-ch-otc713923,MRP₹6515% OFF
Bjain Stannum Metallicum Globules 0/4 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-stannum-metallicum-globules-0-4-lm-otc836252,MRP₹8510% OFF
Dr. Reckeweg Coffea Cruda Dilution 6 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-coffea-cruda-dilution-6-ch-otc373440,
Dr. Majumder Homeo World Achyranthes Aspera Dilution (30ml Each) 12 CH,box of 1 Bottle,221,https://www.1mg.com/otc/dr.-majumder-homeo-world-achyranthes-aspera-dilution-30ml-each-12-ch-otc851459,MRP₹26015% OFF
Dr Willmar Schwabe India Bio-Combination 24 (BC 24) Tablet,bottle of 550 gm Biocombination Tablet,,https://www.1mg.com/otc/dr-willmar-schwabe-india-bio-combination-24-bc-24-tablet-otc448575,
Dr. Reckeweg Medorrhinum Dilution 1000 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-medorrhinum-dilution-1000-ch-otc331971,
Bjain Colocynthis Mother Tincture Q,bottle of 100 ml Mother Tincture,449,https://www.1mg.com/otc/bjain-colocynthis-mother-tincture-q-otc445490,MRP₹50511% OFF
Bakson's Homeopathy Theridion Curassavicum Dilution 1000 CH,bottle of 30 ml Dilution,128,https://www.1mg.com/otc/bakson-s-homeopathy-theridion-curassavicum-dilution-1000-ch-otc784052,MRP₹1409% OFF
Bjain Bufo Rana Dilution 200C,bottle of 12 ml Dilution,55.3,https://www.1mg.com/otc/bjain-bufo-rana-dilution-200c-otc715735,MRP₹6515% OFF
Bakson's Homeopathy Hygrophilla Spinosa Dilution 6X,bottle of 30 ml Dilution,92,https://www.1mg.com/otc/bakson-s-homeopathy-hygrophilla-spinosa-dilution-6x-otc763475,MRP₹1008% OFF
SBL Phosphorus 0/4 LM,bottle of 20 gm Globules,,https://www.1mg.com/otc/sbl-phosphorus-0-4-lm-otc366155,
Pioneer Pharma Sabadilla Globules Pellet Multidose Pills 6 CH,bottle of 150 tablets,102,https://www.1mg.com/otc/pioneer-pharma-sabadilla-globules-pellet-multidose-pills-6-ch-otc891861,MRP₹12015% OFF
Lord's Koughcure Syrup,bottle of 60 ml Syrup,,https://www.1mg.com/otc/lord-s-koughcure-syrup-otc563103,
Bjain Kali Carbonicum Globules 0/1 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-kali-carbonicum-globules-0-1-lm-otc823957,MRP₹8510% OFF
Dr. Reckeweg Mercurius Iodatus Ruber Dilution 10M CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-mercurius-iodatus-ruber-dilution-10m-ch-otc374576,
SBL Phosphorus 0/11 LM,bottle of 20 gm Globules,,https://www.1mg.com/otc/sbl-phosphorus-0-11-lm-otc366162,
Dr. Reckeweg Aloe Soc Mother Tincture Q,bottle of 20 ml Mother Tincture,,https://www.1mg.com/otc/dr.-reckeweg-aloe-soc-mother-tincture-q-otc327807,
Bakson's Homeopathy Tabacum Dilution 1M,bottle of 30 ml Dilution,128,https://www.1mg.com/otc/bakson-s-homeopathy-tabacum-dilution-1m-otc785207,MRP₹1409% OFF
Pioneer Pharma Sarsaparilla Globules Pellet Multidose Pills 6 CH,bottle of 150 tablets,102,https://www.1mg.com/otc/pioneer-pharma-sarsaparilla-globules-pellet-multidose-pills-6-ch-otc897187,MRP₹12015% OFF
Wheezal Naja Tripudians Dilution 200,bottle of 30 ml Dilution,93.5,https://www.1mg.com/otc/wheezal-naja-tripudians-dilution-200-otc928329,MRP₹10511% OFF
Wheezal Ricinus Communis Dilution 30,box of 30 ml Dilution,89,https://www.1mg.com/otc/wheezal-ricinus-communis-dilution-30-otc924689,MRP₹10011% OFF
Dr Willmar Schwabe India Aegle Marmelos Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-aegle-marmelos-dilution-12-ch-otc395006,
Dr. Majumder Homeo World Acetanilidum Dilution (30ml Each) 3X,box of 1 Bottle,221,https://www.1mg.com/otc/dr.-majumder-homeo-world-acetanilidum-dilution-30ml-each-3x-otc851415,MRP₹26015% OFF
Dr. Reckeweg Gelsemium Sempervirens Dilution 1000 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-gelsemium-sempervirens-dilution-1000-ch-otc335275,
Dr Willmar Schwabe India Kali Muriaticum Biochemic Tablet 12X,bottle of 550 gm Biochemic Tablet,,https://www.1mg.com/otc/dr-willmar-schwabe-india-kali-muriaticum-biochemic-tablet-12x-otc448603,
Radient Mikoil Oil,bottle of 60 ml Oil,96.8,https://www.1mg.com/otc/radient-mikoil-oil-otc799948,MRP₹11012% OFF
Dr. Reckeweg Selenium Dilution 30 CH,bottle of 100 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-selenium-dilution-30-ch-otc945011,
Wheezal Scutellaria Lateriflora Dilution 1M,bottle of 30 ml Dilution,120,https://www.1mg.com/otc/wheezal-scutellaria-lateriflora-dilution-1m-otc925176,MRP₹13511% OFF
Dr Willmar Schwabe India Lac Vaccinum Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-lac-vaccinum-dilution-30-ch-otc404693,
Bjain Calcarea Fluorica Biochemic Tablet 200X,bottle of 25 gm Biochemic Tablet,106,https://www.1mg.com/otc/bjain-calcarea-fluorica-biochemic-tablet-200x-otc484070,MRP₹1104% OFF
St. George’s Cof Mix Syrup,bottle of 60 ml Syrup,,https://www.1mg.com/otc/st.-george-s-cof-mix-syrup-otc498736,
Bjain Sepia Globules 0/5 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-sepia-globules-0-5-lm-otc836128,MRP₹8510% OFF
Bjain Platinum Metallicum Dilution 30 CH,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/bjain-platinum-metallicum-dilution-30-ch-otc435236,MRP₹9510% OFF
Dr Willmar Schwabe India Essentia Infantia Tablet,bottle of 20 gm Tablet,105,https://www.1mg.com/otc/dr-willmar-schwabe-india-essentia-infantia-tablet-otc326133,MRP₹1159% OFF
Dr Willmar Schwabe India Kali Phosphoricum Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-kali-phosphoricum-dilution-30-ch-otc404529,
Dr Willmar Schwabe India Ferrum Phosphoricum Dilution 10M CH,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-ferrum-phosphoricum-dilution-10m-ch-otc402896,
Dr. Majumder Homeo World Belladonna Dilution 6 (30ml Each),combo pack of 6 bottles,1248,https://www.1mg.com/otc/dr.-majumder-homeo-world-belladonna-dilution-6-30ml-each-otc798040,MRP₹156020% OFF
Dr. Majumder Homeo World Belladonna Dilution 200 (30ml Each),combo pack of 1 Bottle,230,https://www.1mg.com/otc/dr.-majumder-homeo-world-belladonna-dilution-200-30ml-each-otc798009,MRP₹27015% OFF
LDD Bioscience Artemisia Vulgaris Dilution 1000 CH,bottle of 100 ml Dilution,207,https://www.1mg.com/otc/ldd-bioscience-artemisia-vulgaris-dilution-1000-ch-otc839379,MRP₹23010% OFF
New Life Bach Flower Larch 30,bottle of 30 ml Dilution,,https://www.1mg.com/otc/new-life-bach-flower-larch-30-otc386690,
